PING 10.0.0.13 (10.0.0.13) 56(84) bytes of data.
64 bytes from 10.0.0.13: icmp_seq=82 ttl=64 time=157 ms
64 bytes from 10.0.0.13: icmp_seq=83 ttl=64 time=202 ms
64 bytes from 10.0.0.13: icmp_seq=84 ttl=64 time=118 ms
64 bytes from 10.0.0.13: icmp_seq=85 ttl=64 time=177 ms
64 bytes from 10.0.0.13: icmp_seq=86 ttl=64 time=103 ms
64 bytes from 10.0.0.13: icmp_seq=87 ttl=64 time=102 ms
64 bytes from 10.0.0.13: icmp_seq=88 ttl=64 time=104 ms
64 bytes from 10.0.0.13: icmp_seq=89 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=90 ttl=64 time=272 ms
64 bytes from 10.0.0.13: icmp_seq=91 ttl=64 time=172 ms
64 bytes from 10.0.0.13: icmp_seq=92 ttl=64 time=260 ms
64 bytes from 10.0.0.13: icmp_seq=93 ttl=64 time=158 ms
64 bytes from 10.0.0.13: icmp_seq=94 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=95 ttl=64 time=106 ms
64 bytes from 10.0.0.13: icmp_seq=96 ttl=64 time=107 ms
64 bytes from 10.0.0.13: icmp_seq=97 ttl=64 time=113 ms
64 bytes from 10.0.0.13: icmp_seq=98 ttl=64 time=111 ms
64 bytes from 10.0.0.13: icmp_seq=99 ttl=64 time=261 ms
64 bytes from 10.0.0.13: icmp_seq=100 ttl=64 time=379 ms

--- 10.0.0.13 ping statistics ---
100 packets transmitted, 98 received, 2% packet loss, time 26392ms
rtt min/avg/max/mdev = 101.347/178.038/1174.286/123.105 ms, pipe 2
